entry_type,obd_code,title_en,description_en,likely_causes_en,severity_en,recommended_action_en,estimated_cost_usd_min,estimated_cost_usd_max,title_ja,description_ja,likely_causes_ja,severity_ja,recommended_action_ja,estimated_cost_jpy_min,estimated_cost_jpy_max,embed_text
obd_code,C0035,Left Front Wheel Speed Sensor Circuit,ABS reports fault on left front wheel speed sensor circuit.,Damaged wheel speed sensor; Debris on tone ring; Broken harness at strut; Corroded connector,Caution - ABS/traction may disable,Inspect sensor air gap and wiring; clear codes after repair,80,400,左前ホイールスピードセンサー回路,ABSが左前輪速センサー回路の異常を検出。,センサー損傷; トーンリング異物; ストラット部ハーネス切れ; コネクタ腐食,注意 - ABS/トラクション解除の可能性,エアギャップと配線点検、修理後にコード消去,10000,55000,C0035 left front wheel speed sensor ABS tone ring 左前 車輪速 センサー
symptom,,Battery warning light on while driving,Red battery/charging lamp stays on after start or while driving.,Alternator failure; Broken serpentine belt; Bad voltage regulator; Battery cable issue,Stop when safe - risk of stall,Check belt; measure charging voltage; limit electrical loads and seek service,100,800,走行中にバッテリー警告灯,始動後や走行中にバッテリー/充電警告灯が点灯したまま。,オルタネーター故障; ベルト切れ; レギュレーター不良; ケーブル不良,安全な場所で停止 - エンストリスク,ベルト確認と充電電圧測定。電装負荷を減らして整備へ,15000,100000,battery warning light charging alternator serpentine belt regulator バッテリー 警告灯 充電
symptom,,Squealing on cold start that goes away,Brief high-pitched squeal for a few seconds after cold start then quiet.,Glazed accessory belt; Weak belt tensioner; Alternator clutch pulley; Moisture on belt,Safe to drive - replace belt/tensioner soon,Inspect belt glaze and tensioner play; replace belt set if cracked,40,350,冷間始動時だけキーキー音,始動直後数秒キーキー言い、暖まると消える。,ベルト劣化/艶; テンショナー弱り; オルタプーリー; ベルトの湿気,走行可 - 早めにベルト交換,ベルト艶とテンショナーガタ確認、ひびあればセット交換,5000,45000,squealing cold start belt tensioner alternator pulley 冷間 キーキー ベルト
symptom,,Clunk when shifting from Park to Drive,Single clunk/jolt when selecting Drive or Reverse from Park.,Worn engine/transmission mounts; Excessive driveline play; Low ATF; Shift cable adjustment,Caution - inspect mounts,Inspect mounts under load; check ATF level and condition,80,900,PからDに入れた時ガクッ,PからD/Rに入れた瞬間に一発の衝撃音やガクつき。,エンジン/ミッションマウント劣化; 駆動系ガタ; ATF不足; シフトケーブル,注意 - マウント点検,負荷をかけてマウント点検、ATF量と状態確認,10000,120000,clunk park to drive mounts ATF driveline パーク ドライブ ガクッ マウント
symptom,,Windows fog inside and AC cannot clear,Interior glass stays fogged; AC/defrost struggles to dry cabin air.,Cabin filter clogged; Low refrigerant; Blend door fault; Heater core seep (sweet smell),Caution - visibility safety,Replace cabin filter; verify AC pressures; check for coolant smell in cabin,40,700,窓が内側で曇りACでも晴れない,車内ガラスが曇り、デフロスタでも乾きにくい。,フィルター詰まり; 冷媒不足; ブレンドドア不良; ヒーターコア滲み,注意 - 視界の安全,フィルター交換、AC圧力確認、甘い匂い（クーラント）も確認,5000,90000,windows fog interior AC defrost cabin filter refrigerant heater core 窓 曇り デフロスタ
symptom,,Rough downshifts when slowing,Automatic transmission bangs or flares when downshifting to a stop.,Low/dirty ATF; Failing solenoids; Worn clutch packs; Software shift adapt needed,Caution - transmission wear,Check ATF condition; scan TCM codes; avoid hard throttle until serviced,150,2500,減速時のシフトダウンが粗い,停車前のシフトダウンでドンという衝撃や吹き上がり。,ATF不足/汚れ; ソレノイド不良; クラッチパック摩耗; 学習値,注意 - 変速機摩耗,ATF状態確認、TCM診断。整備まで急加速を避ける,20000,350000,rough downshifts automatic transmission ATF solenoids シフトダウン 衝撃 AT
symptom,,Smoke from engine bay on highway,Visible smoke from under hood after sustained high speed or climb.,Oil leak onto exhaust; Coolant leak on manifold; Overheating; Turbo oil line (if equipped),Stop safely - fire risk,Do not continue; check fluids when cool; tow if leak or overheating continues,100,2000,高速走行後にエンジンルームから煙,高速や登坂の後、ボンネットから煙が見える。,排気へのオイル漏れ; マニホールドへのクーラント; オーバーヒート; ターボオイルライン,安全に停止 - 火災リスク,冷却後にフルード確認。漏れやオーバーヒートが続くならレッカー,15000,280000,smoke engine bay highway oil coolant leak overheating turbo 煙 エンジンルーム 高速
symptom,,Parking brake will not hold on incline,Vehicle rolls on a moderate slope with parking brake fully applied.,Stretched cable; Worn rear shoes/pads; Seized mechanism; Maladjusted switch,Caution - rollaway risk,Test on mild incline only in safe area; service rear brakes and cables,80,500,サイドブレーキが効かない,しっかり引いても緩い坂で車両が動く。,ケーブル伸び; リアパッド/シュー摩耗; 機構固着; スイッチ調整不良,注意 - 車両移動リスク,安全な場所で坂道テスト。リアブレーキとケーブル整備,10000,70000,parking brake not hold incline cable rear shoes rollaway サイドブレーキ 効かない 坂
symptom,,Intermittent no-crank after rain,After heavy rain or car wash starter sometimes clicks or does nothing.,Water in ignition switch area; Corroded ground; Wet starter solenoid connector; Faulty neutral safety switch,Caution - may strand you,Dry connectors; clean grounds; reproduce after water exposure for diagnosis,50,600,雨の後たまにエンジンが回らない,大雨や洗車後にセルが回らない/クリックのみになることがある。,イグニッション周り浸水; アース腐食; セルコネクタ濡れ; ニュートラルスイッチ,注意 - 立ち往生の可能性,コネクタ乾燥とアース清掃。再現条件を記録して診断,8000,80000,intermittent no crank after rain starter ground neutral switch 雨 セル 回らない
general_repair,,Scheduled brake fluid flush,Brake fluid absorbs moisture over time reducing boiling point and causing corrosion.,Hygroscopic fluid aging; Moisture contamination; Neglected interval service,Safe to drive - maintenance,Replace fluid per manufacturer interval (often 2–3 years),80,200,ブレーキフルード交換整備,フルードは吸湿し沸点が下がり内部腐食の原因になる。,吸湿による劣化; 水分混入; 交換周期超過,走行可 - 定期整備,メーカー推奨周期（多くの車で2〜3年）で交換,10000,30000,brake fluid flush moisture boiling point maintenance ブレーキフルード 交換 吸湿
general_repair,,Serpentine belt and tensioner replacement,Preventive replacement of drive belt and tensioner to avoid roadside failure.,Rubber cracking; Tensioner bearing noise; Age/mileage wear,Safe to drive until noisy or cracked,Replace belt and tensioner together when cracked or due by mileage,80,400,サーペンタインベルトとテンショナー交換,ドライブベルトとテンショナーの予防交換で路上故障を防ぐ。,ゴムひび割れ; テンショナー異音; 経年/走行距離劣化,異音やひび割れまで走行可,ひびや交換時期でベルトとテンショナーをセット交換,10000,55000,serpentine belt tensioner replacement preventive maintenance ベルト テンショナー 交換
